"","Song","lyric"
"1","""Declutter""","cull the cardboard from the floor"
"2","""Declutter""","i don't love you anymore"
"3","""Declutter""","lift each penny, the structure"
"4","""Declutter""","twice a season i try and declutter"
"5","""Declutter""","i sift the sediment from the rocky grave"
"6","""Declutter""","i can't tell you when i stopped feeling the same"
"7","""Declutter""","i mailed the remnants to a friend"
"8","""Declutter""","wrote a phony name in the return address"
"9","""Declutter""","i don't care anymore"
"10","""Declutter""","thrift shop, goodwill store"
"11","""Declutter""","i don't care"
"12","""Declutter""","or need it anymore"
"13","""Declutter""","mark the hours by my meals"
"14","""Declutter""","each decision's got me dragging my heels"
"15","""Declutter""","speak in only past tense"
"16","""Declutter""","shoulder to shoulder and shaking our heads"
"17","""Declutter""","i don't care anymore"
"18","""Declutter""","thrift shop, goodwill store"
"19","""Declutter""","i don't care"
"20","""Declutter""","or need it anymore"
"21","""Declutter""","""hey, um, sorry if you're sleeping... i have some good news for you, so. um, i'm gonna go to sleep now, but, um, i was hoping to hear your voice. thinking of you. have a good night."""
"22","""Declutter""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"23","""Declutter""","  {"
"24","""Declutter""","     document.getelementbyid('azmxmbanner').style.display='block';"
"25","""Declutter""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
