"","Song","lyric"
"1","""Joni: LA's No. 1 Health Goth""","""hello, the program you are about to watch is a special presentation brought to you by ihtv's public broadcasting network"
"2","""Joni: LA's No. 1 Health Goth""","this program was made possible by the efforts of illuminati hotties corporation, and contributions from little shredders like you. thank you!"""
"3","""Joni: LA's No. 1 Health Goth""","you wish"
"4","""Joni: LA's No. 1 Health Goth""","you were"
"5","""Joni: LA's No. 1 Health Goth""","like her"
"6","""Joni: LA's No. 1 Health Goth""","like her"
"7","""Joni: LA's No. 1 Health Goth""","joni is a punk babe"
"8","""Joni: LA's No. 1 Health Goth""","joni is the second wave"
"9","""Joni: LA's No. 1 Health Goth""","joni is a black jean jacket"
"10","""Joni: LA's No. 1 Health Goth""","joni's in the first band"
"11","""Joni: LA's No. 1 Health Goth""","joni has a cool hand"
"12","""Joni: LA's No. 1 Health Goth""","joni knows the problem is systematic"
"13","""Joni: LA's No. 1 Health Goth""","joni cut the tour line"
"14","""Joni: LA's No. 1 Health Goth""","joni doesn't have time"
"15","""Joni: LA's No. 1 Health Goth""","joni likes to dart on stage"
"16","""Joni: LA's No. 1 Health Goth""","joni's on a juice cleanse"
"17","""Joni: LA's No. 1 Health Goth""","joni doesn't need friends"
"18","""Joni: LA's No. 1 Health Goth""","cause joni's got the whole room trained"
"19","""Joni: LA's No. 1 Health Goth""","you wish"
"20","""Joni: LA's No. 1 Health Goth""","you were"
"21","""Joni: LA's No. 1 Health Goth""","like her"
"22","""Joni: LA's No. 1 Health Goth""","like her"
"23","""Joni: LA's No. 1 Health Goth""","i bet she never looks your way"
"24","""Joni: LA's No. 1 Health Goth""","i bet she never looks your way"
"25","""Joni: LA's No. 1 Health Goth""","i bet she never cared"
"26","""Joni: LA's No. 1 Health Goth""","i bet she never cared"
"27","""Joni: LA's No. 1 Health Goth""","i bet she never cared about you"
"28","""Joni: LA's No. 1 Health Goth""","you wish"
"29","""Joni: LA's No. 1 Health Goth""","you were"
"30","""Joni: LA's No. 1 Health Goth""","like her"
"31","""Joni: LA's No. 1 Health Goth""","like her"
"32","""Joni: LA's No. 1 Health Goth""","when joni's on a first date"
"33","""Joni: LA's No. 1 Health Goth""","joni goes to third base"
"34","""Joni: LA's No. 1 Health Goth""","and when you wake up joni's long gone"
"35","""Joni: LA's No. 1 Health Goth""","now joni's at the desert house where only joni sings loud"
"36","""Joni: LA's No. 1 Health Goth""","cause joni never wrote a bad song"
"37","""Joni: LA's No. 1 Health Goth""","you wish"
"38","""Joni: LA's No. 1 Health Goth""","you were"
"39","""Joni: LA's No. 1 Health Goth""","like her"
"40","""Joni: LA's No. 1 Health Goth""","i bet she never looks your way"
"41","""Joni: LA's No. 1 Health Goth""","i bet she never looks your way"
"42","""Joni: LA's No. 1 Health Goth""","i bet she never cared"
"43","""Joni: LA's No. 1 Health Goth""","i bet she never cared"
"44","""Joni: LA's No. 1 Health Goth""","i bet she never cared about you"
"45","""Joni: LA's No. 1 Health Goth""","joni's got a brand new mullet"
"46","""Joni: LA's No. 1 Health Goth""","fast and cool as a silver bullet"
"47","""Joni: LA's No. 1 Health Goth""","and she's on your couch"
"48","""Joni: LA's No. 1 Health Goth""","and she wants you to pull it!"
"49","""Joni: LA's No. 1 Health Goth""","i bet she never looks your way"
"50","""Joni: LA's No. 1 Health Goth""","i bet she never looks your way"
"51","""Joni: LA's No. 1 Health Goth""","i bet she never cared"
"52","""Joni: LA's No. 1 Health Goth""","i bet she never cared"
"53","""Joni: LA's No. 1 Health Goth""","i bet she never cared about you"
"54","""Joni: LA's No. 1 Health Goth""","you wish"
"55","""Joni: LA's No. 1 Health Goth""","you were"
"56","""Joni: LA's No. 1 Health Goth""","like her"
"57","""Joni: LA's No. 1 Health Goth""","like her"
"58","""Joni: LA's No. 1 Health Goth""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"59","""Joni: LA's No. 1 Health Goth""","  {"
"60","""Joni: LA's No. 1 Health Goth""","     document.getelementbyid('azmxmbanner').style.display='block';"
"61","""Joni: LA's No. 1 Health Goth""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
