"","Song","lyric"
"1","""MMMOOOAAAAAYAYA""","you think i'm interesting, don't you?"
"2","""MMMOOOAAAAAYAYA""","think i'm fascinating? won't you"
"3","""MMMOOOAAAAAYAYA""","swing by after hours so you"
"4","""MMMOOOAAAAAYAYA""","know just what you're getting into? uh-huh"
"5","""MMMOOOAAAAAYAYA""","i got style like your twin sister, i"
"6","""MMMOOOAAAAAYAYA""","i cut my hair, but it covers my eyes"
"7","""MMMOOOAAAAAYAYA""","and on the phone, when they call me ""mister,"" i"
"8","""MMMOOOAAAAAYAYA""","i say, ""ma'am, that'll be just fine"""
"9","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"10","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"11","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"12","""MMMOOOAAAAAYAYA""","yeah, yeah"
"13","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"14","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"15","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"16","""MMMOOOAAAAAYAYA""","yeah, yeah"
"17","""MMMOOOAAAAAYAYA""","you think i wanna be a part of"
"18","""MMMOOOAAAAAYAYA""","every self-appointed startup?"
"19","""MMMOOOAAAAAYAYA""","every brand-approval markup?"
"20","""MMMOOOAAAAAYAYA""","place that precious pretty product, but i"
"21","""MMMOOOAAAAAYAYA""","i took a trip and met the ojai shaman"
"22","""MMMOOOAAAAAYAYA""","man, i was scared when i took his drugs"
"23","""MMMOOOAAAAAYAYA""","i sat around like an old tortilla"
"24","""MMMOOOAAAAAYAYA""","folded and flat, full of mold and bugs"
"25","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"26","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"27","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"28","""MMMOOOAAAAAYAYA""","yeah, yeah"
"29","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"30","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"31","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"32","""MMMOOOAAAAAYAYA""","yeah, yeah"
"33","""MMMOOOAAAAAYAYA""","love me, fight me, choke me, bite me"
"34","""MMMOOOAAAAAYAYA""","(love me, fight me, choke me, bite me)"
"35","""MMMOOOAAAAAYAYA""","the dnc is playing dirty"
"36","""MMMOOOAAAAAYAYA""","(the dnc is playing dirty)"
"37","""MMMOOOAAAAAYAYA""","text me, touch me, call me ""daddy"""
"38","""MMMOOOAAAAAYAYA""","(text me, touch me, call me ""daddy"")"
"39","""MMMOOOAAAAAYAYA""","i'm so sad, i can't do laundry"
"40","""MMMOOOAAAAAYAYA""","(i'm so sad, i can't do laundry)"
"41","""MMMOOOAAAAAYAYA""","so, i do a dabble where i dribble the babble, baby, ah"
"42","""MMMOOOAAAAAYAYA""","i had it bad but now i'm back in the saddle, baby"
"43","""MMMOOOAAAAAYAYA""","an ex-terrestrial: i used to be grounded, baby"
"44","""MMMOOOAAAAAYAYA""","pitiful puppy, pick me up at the pound now"
"45","""MMMOOOAAAAAYAYA""","i guess i'm too fun, i guess i'm too funny"
"46","""MMMOOOAAAAAYAYA""","if you're not laughing, baby, then you're not making money"
"47","""MMMOOOAAAAAYAYA""","ahahaha!"
"48","""MMMOOOAAAAAYAYA""","then you're not making money"
"49","""MMMOOOAAAAAYAYA""","ah! ah! ah!"
"50","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"51","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"52","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"53","""MMMOOOAAAAAYAYA""","yeah, yeah"
"54","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"55","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"56","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"57","""MMMOOOAAAAAYAYA""","yeah, yeah"
"58","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"59","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"60","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"61","""MMMOOOAAAAAYAYA""","yeah yeah"
"62","""MMMOOOAAAAAYAYA""","mm-mm-mm"
"63","""MMMOOOAAAAAYAYA""","oh-oh-oh"
"64","""MMMOOOAAAAAYAYA""","ah-ah-ah-ah-ah"
"65","""MMMOOOAAAAAYAYA""","yeah"
"66","""MMMOOOAAAAAYAYA""","yeah, uh-huh, uh-huh"
"67","""MMMOOOAAAAAYAYA""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"68","""MMMOOOAAAAAYAYA""","  {"
"69","""MMMOOOAAAAAYAYA""","     document.getelementbyid('azmxmbanner').style.display='block';"
"70","""MMMOOOAAAAAYAYA""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"71","""MMMOOOAAAAAYAYA""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_26228710/su_0/rs_0/tr_3vucaoadnx0soi-b8sn_3tnd3owpdw1_x0beea-cutve7merjfcafj5fx5yul59ruembxqjxuelah7hfqzj8pehkl5yzm_fhz_p9mmdzlsyprxby8v6exvi8hbavqx6htwscqyg4enrpvzrs5m9bslxwwyh1lab1ljxmompnvdrb33jpktvnbdtaoopas8uutb0bm7nkrzvnsjnktvysr8a3wel71la5_afdwl2qogczkojsowqa6wwfki9a4zu5u9nstnk2gffhob3epag2ailsp6iqyrxtzcl0jg7dzlznvzdsspoyqsuqdwb-uks0yvleowiy9z0rns09vjf4hcsalfcqveyyzpnzn0mae-ru25ohmfttheaf17t5qiq1e-kafbjgwc4agwaqrmzztl61m78htm5fjdywar7oexgnjwidij3hhmpviuek4socseuiqoi_ubh6c6r9ez0/"" width=""290px"" height=""50px""></iframe>'+"
"72","""MMMOOOAAAAAYAYA""","  '</div>');"
"73","""MMMOOOAAAAAYAYA""","   }"
"74","""777""","open your palm"
"75","""777""","read along"
"76","""777""","can you see me?"
"77","""777""","from far apart"
"78","""777""","through the dark"
"79","""777""","i'm repeating..."
"80","""777""","i wanna figure you out"
"81","""777""","i wanna take you around"
"82","""777""","wide like space"
"83","""777""","blue like heaven"
"84","""777""","you're my spade"
"85","""777""","lucky 777"
"86","""777""","777"
"87","""777""","slug on the slot"
"88","""777""","bet a lot"
"89","""777""","trust me"
"90","""777""","the token tame"
"91","""777""","round and plain"
"92","""777""","i'm lucky"
"93","""777""","i wanna figure you out"
"94","""777""","i wanna take you around"
"95","""777""","i wanna hold you for now"
"96","""777""","wide like space"
"97","""777""","blue like heaven"
"98","""777""","you're my spade"
"99","""777""","lucky 777"
"100","""777""","777"
"101","""777""","wide like space"
"102","""777""","blue like heaven"
"103","""777""","you're my spade"
"104","""777""","lucky 777"
"105","""777""","wide like space"
"106","""777""","blue like heaven"
"107","""777""","you're my spade"
"108","""777""","lucky 777"
"109","""777""","777..."
"110","""777""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"111","""777""","  {"
"112","""777""","     document.getelementbyid('azmxmbanner').style.display='block';"
"113","""777""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"114","""777""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/dfd9gogocmskm2rjwzjth0h7mhmh9tbw/24pkhf8q53rr2n8ve0b0h4eym+2npkkedcgqccjrqs4jqczdim0i0uipd9sjlz+jw0h2a2hslxlcjt9g8wr2nhjqvb+yg3qvgwbz3vyhx1bquk1uayqtlgholgldpfhr2yuhrllpqm=/?artist_name=illuminati+hotties&track_name=777&s=420c5d56c653e558ed7edb7017c10c27"" width=""290px"" height=""50px""></iframe>'+"
"115","""777""","  '</div>');"
"116","""777""","   }"
"117","""Everything Changes""","did you know?"
"118","""Everything Changes""","everything changes"
"119","""Everything Changes""","when you lose someone"
"120","""Everything Changes""","when you lose someone"
"121","""Everything Changes""","everything changes"
"122","""Everything Changes""","now you can't get up"
"123","""Everything Changes""","now the good is gone"
"124","""Everything Changes""","while you're watching"
"125","""Everything Changes""","every person around you"
"126","""Everything Changes""","getting their life done"
"127","""Everything Changes""","like they're moving on"
"128","""Everything Changes""","'cause they're moving on"
"129","""Everything Changes""","and everything changes"
"130","""Everything Changes""","you're the only one"
"131","""Everything Changes""","yeah, you got stuck"
"132","""Everything Changes""","and you can't unpause"
"133","""Everything Changes""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"134","""Everything Changes""","  {"
"135","""Everything Changes""","     document.getelementbyid('azmxmbanner').style.display='block';"
"136","""Everything Changes""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"137","""Everything Changes""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36228903/su_0/rs_0/tr_3vucahwsteyeohys0woqxdy9ospc3kwxngpzmbsklpxktcdklgkrzzfbuib_zgwb3s_q5j59jw-q5j4puqiwiltczzh7agvevmjbx44lomrga-uubqrockj8wwiwvagyfjgpzv-ginbexzr-fennztyvwsvhphsbuxnob_nzrf-k_b5vxaix7ii9inhvzoqmvq0gwgoiptaf6npux0ke39ca3kjjiwdjun3f4apcvawv0aqc6rxc7nskufnq7njwviitcj0-a2xo8mxzqzkwiylhlczw0mm3ccgpf8izxtktqashqjhgcs4hn59_qosrgjc-dxvshxwbe-0yb_a5vss1vbudozruvh-gns0kwwjss6inv8t8guvm8himuq2pipxe7pk5f7jvfikqclwlt50muautqbnlqmhb07i4ho4ypgtr4of83csl_x0vgli2hya58vx7gp6u-04xxpm/"" width=""290px"" height=""50px""></iframe>'+"
"138","""Everything Changes""","  '</div>');"
"139","""Everything Changes""","   }"
