"","Song","lyric"
"1","""content//bedtime""","three, two, one"
"2","""content//bedtime""","content"
"3","""content//bedtime""","bedtime"
"4","""content//bedtime""","e-motivational deadline"
"5","""content//bedtime""","content"
"6","""content//bedtime""","bedtime"
"7","""content//bedtime""","e-motivational deadline (you are correct)"
"8","""content//bedtime""","content"
"9","""content//bedtime""","bedtime"
"10","""content//bedtime""","e-motivational deadline (ah)"
"11","""content//bedtime""","content"
"12","""content//bedtime""","bedtime"
"13","""content//bedtime""","e-motivational deadline (ah)"
"14","""content//bedtime""","(content)"
"15","""content//bedtime""","(bedtime)"
"16","""content//bedtime""","everyone likes being around me"
"17","""content//bedtime""","everyone likes being around you more"
"18","""content//bedtime""","everyone like following fashion"
"19","""content//bedtime""","everyone likes everyone else much more"
"20","""content//bedtime""","everyone likes being around me"
"21","""content//bedtime""","everyone likes being around you more"
"22","""content//bedtime""","everyone likes filling the timeline"
"23","""content//bedtime""","everyone likes keeping the best shots for the"
"24","""content//bedtime""","content"
"25","""content//bedtime""","bedtime"
"26","""content//bedtime""","e-motivational deadline (they keeping it all for the content)"
"27","""content//bedtime""","content"
"28","""content//bedtime""","bedtime (alright)"
"29","""content//bedtime""","e-motivational deadline (repeat after me)"
"30","""content//bedtime""","content (t-e-e-e)"
"31","""content//bedtime""","bedtime (v-e-e-e)"
"32","""content//bedtime""","(w-w-dot-illuminati-hotties)"
"33","""content//bedtime""","e-motivational deadline"
"34","""content//bedtime""","(content)"
"35","""content//bedtime""","t-e-e-e"
"36","""content//bedtime""","(bedtime)"
"37","""content//bedtime""","v-e-e-e"
"38","""content//bedtime""","(e-motivational deadline)"
"39","""content//bedtime""","w-w-dot-illuminati-hotties"
"40","""content//bedtime""","(content)"
"41","""content//bedtime""","oh-oh-oh-oh"
"42","""content//bedtime""","(bedtime)"
"43","""content//bedtime""","no-oh-oh-oh"
"44","""content//bedtime""","(e-motivational deadline)"
"45","""content//bedtime""","pouring a bowl of illuminati hot-o's"
"46","""content//bedtime""","(content)"
"47","""content//bedtime""","woah-oh-oh-oh"
"48","""content//bedtime""","(bedtime)"
"49","""content//bedtime""","no-oh-oh-oh"
"50","""content//bedtime""","(you hear that?)"
"51","""content//bedtime""","(e-motivational deadline)"
"52","""content//bedtime""","pouring a bowl of illuminati hot-o's"
"53","""content//bedtime""","(excellent form out there)"
"54","""content//bedtime""","everyone likes being around me"
"55","""content//bedtime""","everyone likes being around you more"
"56","""content//bedtime""","everyone likes being around me"
"57","""content//bedtime""","everyone likes being around you for the"
"58","""content//bedtime""","content"
"59","""content//bedtime""","bedtime"
"60","""content//bedtime""","e-motivational deadline (they keep you around for the)"
"61","""content//bedtime""","content"
"62","""content//bedtime""","bedtime"
"63","""content//bedtime""","e-motivational deadline (ready? all together)"
"64","""content//bedtime""","(content)"
"65","""content//bedtime""","t-e-e-e"
"66","""content//bedtime""","(bedtime)"
"67","""content//bedtime""","v-e-e-e"
"68","""content//bedtime""","(e-motivational deadline)"
"69","""content//bedtime""","w-w-dot-illuminati-hotties"
"70","""content//bedtime""","(content)"
"71","""content//bedtime""","woah-oh-oh-oh"
"72","""content//bedtime""","(bedtime)"
"73","""content//bedtime""","no-oh-oh-oh"
"74","""content//bedtime""","(e-motivational deadline)"
"75","""content//bedtime""","pouring a bowl of illuminati hot-o's"
"76","""content//bedtime""","it's exhausting ain't it?"
"77","""content//bedtime""","content"
"78","""content//bedtime""","bedtime"
"79","""content//bedtime""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"80","""content//bedtime""","  {"
"81","""content//bedtime""","     document.getelementbyid('azmxmbanner').style.display='block';"
"82","""content//bedtime""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"83","""content//bedtime""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_25390255/su_0/rs_0/tr_3vucabn_-log5rxw7hcoblz1ajmybyhwk-ghis5oktlibyugk11qyavhustdpv7d2gzyl4wilvcyxrp9fgzqbpa5bok7wmdlfngjj9fh9d9czggzso37byd1cvkgs8edd95sxsvuzpin55zzfyymghby8hit91qgid4n83djhwiwfzbnwlmw3v7rts6ddjkkkqukwpp-x0b2ry68hz_zqjx0njwabtmgwyuuobajericxkmell__njkokrkzo7ebok4o728ypa8ciubnj2bhl3ciggfwt79_6-e3ightfidpdxqmngo2votoo_pky-btxcijleujxt_l2z1pajia5ewaeu-frn50s1ir0c6mzm2wvizie_3hxeblfyhyrkk29hndarcsavmpyvfofxoqv0hysi6v-mko23hprhwlduz0hwwqxtzr-dvyy0jruteq3bevywsiiclcxp_k1w/"" width=""290px"" height=""50px""></iframe>'+"
"84","""content//bedtime""","  '</div>');"
"85","""content//bedtime""","   }"
"86","""b yr own b""","if you're fine then i'm fine too"
"87","""b yr own b""","i got nothing to lose"
"88","""b yr own b""","if i'm fine you must be too"
"89","""b yr own b""","you got nothing to lose"
"90","""b yr own b""","uh-huh, you're worth the cost"
"91","""b yr own b""","uh-huh, i'm better off"
"92","""b yr own b""","uh-huh, bet you never thought that i could be my own"
"93","""b yr own b""","uh-huh, i'm never not"
"94","""b yr own b""","if you're fine then i'm fine too"
"95","""b yr own b""","i got nothing to lose"
"96","""b yr own b""","if i'm fine you must be too"
"97","""b yr own b""","you got nothing to lose"
"98","""b yr own b""","uh-huh, wish i was mad"
"99","""b yr own b""","uh-huh, i let the line go slack"
"100","""b yr own b""","i gave you so much room"
"101","""b yr own b""","so you're fine and i'm fine too"
"102","""b yr own b""","i got nothing to lose"
"103","""b yr own b""","if i'm fine you must be too"
"104","""b yr own b""","you got nothing to lose"
"105","""b yr own b""","if you're fine then i'm fine too"
"106","""b yr own b""","i got nothing to lose"
"107","""b yr own b""","if i'm fine you must be too"
"108","""b yr own b""","you got nothing to lose"
"109","""b yr own b""","uh-huh"
"110","""b yr own b""","uh-huh"
