"","Song","lyric"
"1","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","woo"
"2","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","let's smash to a podcast"
"3","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","tomorrow mornin' we're cryin' into a denny's grand slam"
"4","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","of a kickback"
"5","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","while you were pointing at me, saying that i was the bad man"
"6","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","i was so bad"
"7","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","but i couldn't grasp, you were takin' your time"
"8","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","lightin' the gas lamp with a loose match"
"9","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","a real inventive iconoclast"
"10","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if you were a man, you'd be so"
"11","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","big hops with my 'boks on"
"12","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","can't even believe that i made it from kickin' my front lawn"
"13","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","to a new jawn"
"14","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if only i was as good as everyone stayin' so calm"
"15","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","you was so calm"
"16","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","but i can't remember the last three months"
"17","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","guess i am a profit prawn on a freckled palm"
"18","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","but i'll be keepin' that one song"
"19","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if you were a man, you'd be so"
"20","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if i was a man, i'd be sow"
"21","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if you were a man, you'd be so"
"22","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if i was a"
"23","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"24","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","  {"
"25","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","     document.getelementbyid('azmxmbanner').style.display='block';"
"26","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"27","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/dfd9gogocmskm2rjwzjth0h7mhmh9tbw/24pkhf8q53rr2n8ve0b0h4eym+2npkkedcgqccjrqs4jqczdim0i0uipd9sjlz+jw0h2a2hslxlcjt9g8wr2nhjqvb+yg3qvgwbz3vyhx1bquk1uayqtlgholgldpfhr2yuhrllpqm=/?artist_name=illuminati+hotties&track_name=will+i+get+cancelled+if+i+write+a+song+called%2c+%22if+you+were+a+man+you%27d+be+so+cancelled&s=2a8c60cbf20d7d50f4a8d70d9a31685d"" width=""290px"" height=""50px""></iframe>'+"
"28","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","  '</div>');"
"29","""will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""","   }"
"30","""free ppls""","free peoples all over the place, there are no"
"31","""free ppls""","free peoples living any place i know of"
"32","""free ppls""","free peoples in another location but the"
"33","""free ppls""","free peoples hate the people who want to become"
"34","""free ppls""","free"
"35","""free ppls""","free"
"36","""free ppls""","free"
"37","""free ppls""","look at 'em"
"38","""free ppls""","free"
"39","""free ppls""","look at the sheeples in their feeding pasture while the"
"40","""free ppls""","dutiful shepherd drives them harder and faster and the"
"41","""free ppls""","stock boss is overcome with laughter 'cause he"
"42","""free ppls""","sold everyone on marching blind to the rapture where they're"
"43","""free ppls""","free"
"44","""free ppls""","he eats for free"
"45","""free ppls""","free"
"46","""free ppls""","free"
"47","""free ppls""","we"
"48","""free ppls""","want to be free"
"49","""free ppls""","we"
"50","""free ppls""","want to be free"
"51","""free ppls""","can't just do nothing all the time now"
"52","""free ppls""","you know we're known for being too loud"
"53","""free ppls""","'til too loud"
"54","""free ppls""","gets shut down"
"55","""free ppls""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"56","""free ppls""","  {"
"57","""free ppls""","     document.getelementbyid('azmxmbanner').style.display='block';"
"58","""free ppls""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"59","""free ppls""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36522543/su_0/rs_0/tr_3vucaglugw0_kpfewabgxbm4xzmhxvue-jrn-wn_omthivmkpnp1m_abh8u9wxudfx9qbeofdh6twjusfpbmzn8x7ttbrj-evkoy7gtx8uxejfhl__0ou_-7tkusct-btuvwmva9uie5fivspajikwhzrjlim7srtchawet5vr5o5vcbivu1qp-mhrhwdwce11nm-tgwmle9fb8oteclwqh-idgu5djb-ywozvdk4eehplqrl8rfzdp6nzspkrgtvqdzahkh9g4evgaz6ndrgsspu4ins146ra3wkuud1pz7-bwm_ldvkarj-zbrjzac1ds8vltdaeyxnnrgnwxz7ydbyhnusrxtpxuasctz2zbnircauxore2p3rri8qnevh6acmzzyykwcryzj9p43jjj2xqrrns-tmbf9sl36muc5dauwiqyezmwqyfh4xb3gjvlbgjc/"" width=""290px"" height=""50px""></iframe>'+"
"60","""free ppls""","  '</div>');"
"61","""free ppls""","   }"
"62","""freequent letdown""","mm-hm, i'm always letting everyone down"
"63","""freequent letdown""","i'm always letting everyone know i'm down"
"64","""freequent letdown""","mm-hm, i'm always letting everyone down"
"65","""freequent letdown""","i'm always letting everyone know i'm down"
"66","""freequent letdown""","mm-hm"
"67","""freequent letdown""","(one-two-three go!)"
"68","""freequent letdown""","i am no ceo"
"69","""freequent letdown""","i'm not professional"
"70","""freequent letdown""","i'm no bright edison"
"71","""freequent letdown""","don't know a thing 'bout modern medicine"
"72","""freequent letdown""","mm-hm, i'm always letting everyone down"
"73","""freequent letdown""","i'm always letting everyone know i'm down"
"74","""freequent letdown""","mm-hm, i'm always letting everyone down"
"75","""freequent letdown""","i'm always letting everyone know i'm down"
"76","""freequent letdown""","mm-hm"
"77","""freequent letdown""","(four-five-six-six-six!)"
"78","""freequent letdown""","i couldn't keep a job"
"79","""freequent letdown""","tried to show up but i forgot"
"80","""freequent letdown""","i couldn't keep a partner"
"81","""freequent letdown""","'cause staying in touch is such a bummer"
"82","""freequent letdown""","mm-hm, i'm always letting everyone down"
"83","""freequent letdown""","i'm always letting everyone know i'm down"
"84","""freequent letdown""","mm-hm, i'm always letting everyone down"
"85","""freequent letdown""","i'm always letting everyone know i'm down"
"86","""freequent letdown""","mm-hm"
"87","""freequent letdown""","mm-hm, i'm always letting everyone down"
"88","""freequent letdown""","i'm always letting everyone know i'm down"
"89","""freequent letdown""","mm-hm, i'm always letting everyone down"
"90","""freequent letdown""","i'm always letting everyone know i'm down"
"91","""freequent letdown""","mm-hm"
"92","""freequent letdown""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"93","""freequent letdown""","  {"
"94","""freequent letdown""","     document.getelementbyid('azmxmbanner').style.display='block';"
"95","""freequent letdown""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"96","""freequent letdown""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_22918474/su_0/rs_0/tr_3vucaft3liqkrx0ykzut5fte1lkgrhfobkzdfxntbpm7cab_phh4nbxzw7rowcdfaeebhdetthyruwgglkmucljkgmjimq6owhb_6jsqbuhdbrjrz6iunm5qsakxtttvkavd1qjyssy6mkp_6mcrgtbr7id_l2iy4c6xvz50ou1dyn77expyad_ikrtruy9exkzh-5_yu3nkxyjuxgyx14z2ung8jyb_rgom35uh2acdmme8amuztg_2uwfh2xej331_pzer94vxz_lf4fqzemz-soimgdhzdkfsyuxorrdcnc8hyslpekxep7wbysy5n5oclwvfg6a5t-psvozx4amc3_yemuje97zlozfmjtw8mk8jmmh0tx_hgtm5x9oqu1kij5fs6pcqgrzdmbk6nwgwzoo_2oyxqeebm_ycmmk0ughhbpwz3reobri2k_gmpdtyowvoq77i3fa/"" width=""290px"" height=""50px""></iframe>'+"
"97","""freequent letdown""","  '</div>');"
"98","""freequent letdown""","   }"
"99","""melatonezone""","your number one goat"
"100","""melatonezone""","your backwards anthem"
"101","""melatonezone""","you've got to go rogue"
"102","""melatonezone""","before you go platinum"
"103","""melatonezone""","(uh-huh)"
"104","""melatonezone""","sticking a toothpick into my thigh like"
"105","""melatonezone""","kidding myself that i'm still alive, i'm"
"106","""melatonezone""","taking a bite of commercial pie, you're"
"107","""melatonezone""","living it up while i ask politely"
"108","""melatonezone""","what do you do when"
"109","""melatonezone""","you wake up goopy from a melatoney engine?"
"110","""melatonezone""","barely keeping you chugging"
"111","""melatonezone""","with all the wrong intentions"
"112","""melatonezone""","my fighter pilot"
"113","""melatonezone""","my takeoff title"
"114","""melatonezone""","could you cool your heels"
"115","""melatonezone""","for one more cycle?"
"116","""melatonezone""","(uh-huh)"
"117","""melatonezone""","holding a fat roll of paper towel but"
"118","""melatonezone""","wiping my nose on the sleeve of your blouse"
"119","""melatonezone""","calling the suits for a record recount"
"120","""melatonezone""","saying you cried but you're laughing out loud"
"121","""melatonezone""","what do you do when"
"122","""melatonezone""","you wake up goopy from a melatoney engine?"
"123","""melatonezone""","barely keeping you chugging"
"124","""melatonezone""","in all the wrong directions"
"125","""melatonezone""","so you shift and you shake"
"126","""melatonezone""","all the slim and slimy friendships"
"127","""melatonezone""","in the odds that some clout"
"128","""melatonezone""","seekers slide into your mentions, ah, ah"
"129","""melatonezone""","so what do you do when-"
"130","""melatonezone""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"131","""melatonezone""","  {"
"132","""melatonezone""","     document.getelementbyid('azmxmbanner').style.display='block';"
"133","""melatonezone""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"134","""melatonezone""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_25390225/su_0/rs_0/tr_3vucalt4tmb5czwck-n0xrdw215zudvt1its-zhgtmi39p2vohwtwjfpbhfkwslpx38tihzm6xq0bpnsnbh4yrdwvubuzi2xee75dejhne2ljx2wnnyz8fvaivyrdtrpnl3w-zg9cxqyj_zczmgysf-uhoo1qz9sqwf_j0hutmkjbia39x8slhab_vvo9qnpyraae2c_q0ef11ulzfk9c8e6rpusoq_fevqsmt9otrsrapvaezmr6myegp3tj06nwdlci1gmwiy5pf3ztue3q8xpu3nury3llrjqxchgf1gdqs7o4wd8ufnpp2p_stujv4mwc6o7n69v8z67rwpgdf0k12lwch1fb5tgbsjmbdc_d6muk3hdrnaf84vlvtqvekf-6wyng7n_n5yspluet6hdmotooe6y0zx37cbk-a7wmlb0suxxik6v6yi5npasq1pivoqa5q/"" width=""290px"" height=""50px""></iframe>'+"
"135","""melatonezone""","  '</div>');"
"136","""melatonezone""","   }"
"137","""WATTBL""","creeping crawlers"
"138","""WATTBL""","flying saucers"
"139","""WATTBL""","i just saw their"
"140","""WATTBL""","property has been released"
"141","""WATTBL""","(so!)"
"142","""WATTBL""","someone's lying"
"143","""WATTBL""","caught 'em filing"
"144","""WATTBL""","crooked finance"
"145","""WATTBL""","all your things for 17 bucks a week"
"146","""WATTBL""","you set the hard line"
"147","""WATTBL""","""what a time, what a time!"""
"148","""WATTBL""","you set the hard line"
"149","""WATTBL""","""what a time, what a time!"""
"150","""WATTBL""","la mystics"
"151","""WATTBL""","sang me secrets"
"152","""WATTBL""","i'm forgiving"
"153","""WATTBL""","i forgiving all my shit away"
"154","""WATTBL""","mom, i'm on it"
"155","""WATTBL""","let's be honest"
"156","""WATTBL""","since last august"
"157","""WATTBL""","i could barely keep my sight line straight"
"158","""WATTBL""","you set the hard line"
"159","""WATTBL""","""what a time, what a time!"""
"160","""WATTBL""","you set the hard line"
"161","""WATTBL""","""what a time, what a time!"""
"162","""WATTBL""","so i'll sign the lame line"
"163","""WATTBL""","""what a time, what a time!"""
"164","""WATTBL""","so i'll sign the lame line"
"165","""WATTBL""","""what a time, what a time!"""
"166","""WATTBL""","oh, what a time!"
"167","""WATTBL""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"168","""WATTBL""","  {"
"169","""WATTBL""","     document.getelementbyid('azmxmbanner').style.display='block';"
"170","""WATTBL""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
