"","Song","lyric"
"1","""(You're Better) Than Ever""","all my favorite socks are getting holes in them"
"2","""(You're Better) Than Ever""","all my favorite people got a load on them"
"3","""(You're Better) Than Ever""","but i heard"
"4","""(You're Better) Than Ever""","that you feel better"
"5","""(You're Better) Than Ever""","better than ever"
"6","""(You're Better) Than Ever""","than ever"
"7","""(You're Better) Than Ever""","all my jeans and hoodies smell like parliaments"
"8","""(You're Better) Than Ever""","all i wanna do is sk8 back to yr bed"
"9","""(You're Better) Than Ever""","'cause i heard"
"10","""(You're Better) Than Ever""","that you got better"
"11","""(You're Better) Than Ever""","better than ever"
"12","""(You're Better) Than Ever""","than ever"
"13","""(You're Better) Than Ever""","it's not to say that i'm unfortunate (ooh ooh)"
"14","""(You're Better) Than Ever""","or that i haven't been succeeding (ahh ahh ahh ahhhh)"
"15","""(You're Better) Than Ever""","but i'm a hushed and quiet resonance (ah ah ah)"
"16","""(You're Better) Than Ever""","when i wanted to be screaming"
"17","""(You're Better) Than Ever""","all the things i used to do are boring now"
"18","""(You're Better) Than Ever""","all the baddest words i knew came pouring out"
"19","""(You're Better) Than Ever""","when i heard"
"20","""(You're Better) Than Ever""","that you feel better"
"21","""(You're Better) Than Ever""","better than ever"
"22","""(You're Better) Than Ever""","than ever"
"23","""(You're Better) Than Ever""","it's not to say that i'm unfortunate (ooh ooh)"
"24","""(You're Better) Than Ever""","or that i haven't been succeeding (ahh ahh ahh ahhhh)"
"25","""(You're Better) Than Ever""","but i'm a hushed and quiet resonance (ah ah ah)"
"26","""(You're Better) Than Ever""","when i wanted to be screaming"
"27","""(You're Better) Than Ever""","ahhh!"
"28","""(You're Better) Than Ever""","all day long i waited for my phone to ring"
"29","""(You're Better) Than Ever""","i counted every glow star on my ceiling"
"30","""(You're Better) Than Ever""","texted you a picture where you looked pretty and"
"31","""(You're Better) Than Ever""","wondered if you saved the ones you had of me"
"32","""(You're Better) Than Ever""","but i'm sure"
"33","""(You're Better) Than Ever""","you must be better"
"34","""(You're Better) Than Ever""","better than ever"
"35","""(You're Better) Than Ever""","oh, i'm sure"
"36","""(You're Better) Than Ever""","i could do better"
"37","""(You're Better) Than Ever""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"38","""(You're Better) Than Ever""","  {"
"39","""(You're Better) Than Ever""","     document.getelementbyid('azmxmbanner').style.display='block';"
"40","""(You're Better) Than Ever""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"41","""(You're Better) Than Ever""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_27892134/su_0/rs_0/tr_3vucamfbucx1uo7ss7r40gydh7xbndkucei8j1kcl58hobquadjt1by2xexai4bypflxb2-f7labufwrjntlp9mr8qwaxm0mjtlfqo93gmz6fbwhwx9cx0yfz_48dn9ip6xl7xmoz4yvxgpexvmg6aqnh0i_tuetaj5uq3kgd6a7ra4nce9sqlw7r1jdns4ozlaia2i-xysvxwdk5iqyzfd_42vdx5ypytrj_83_fm228cdubowki8ucabjdbkvev4aimddgganrmluhunlbi_6yo-pkqtvg0ohbc6mdqsc96joix6z-qmwkqbxzhph1zkqkexrpd2rmuloxaqwrgedfnd-ifoiy01ozudlqha11ldi363hh81b_i7fpxc6skx94ld8pb-cj-z5gngjkj4lcb1kwazxagau_gvuugzy77-hreoluro9kz-ms8fp2xhienoyyapuih3ioxmrfzee1vwnuffu/"" width=""290px"" height=""50px""></iframe>'+"
"42","""(You're Better) Than Ever""","  '</div>');"
"43","""(You're Better) Than Ever""","   }"
"44","""Kiss Yr Frenemies""","your shortlist goes on and on"
"45","""Kiss Yr Frenemies""","it's filled with things i couldn't do"
"46","""Kiss Yr Frenemies""","i wanted to"
"47","""Kiss Yr Frenemies""","i wanted anything you wanted"
"48","""Kiss Yr Frenemies""","mostly a month is not such cogent time"
"49","""Kiss Yr Frenemies""","a cycle framed by crescent moons"
"50","""Kiss Yr Frenemies""","so soft, so smooth"
"51","""Kiss Yr Frenemies""","you were the bold face and the shadow"
"52","""Kiss Yr Frenemies""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"53","""Kiss Yr Frenemies""","  {"
"54","""Kiss Yr Frenemies""","     document.getelementbyid('azmxmbanner').style.display='block';"
"55","""Kiss Yr Frenemies""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
