"","Song","lyric"
"1","""K - HOT AM 818""","nothing like an ice cold ripper on a hot summer day, huh?"
"2","""K - HOT AM 818""","here at illuminati hotquarters, we're committed to keeping you happy, hydrated, and most of all, having a great time! so hang on to your masters, folks, and keep it locked to k-hot am 818! shred on!"
"3","""K - HOT AM 818""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"4","""K - HOT AM 818""","  {"
"5","""K - HOT AM 818""","     document.getelementbyid('azmxmbanner').style.display='block';"
"6","""K - HOT AM 818""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"7","""K - HOT AM 818""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36235773/su_0/rs_0/tr_3vucaaiexfobkdgsilpympss3-ljq46qejoucztyskia2vrtw86b5xzdmscijlxjdnhzmvmyvodaurotkxu9sl5izhxx_6q-q01jauk_mwkevhd-m8vxlivgnjeksqahxlhc-nl6goijq6q3icy93kjzxpovv5pyxe6vprzhqj-h0sd0oen1um9t95nlt4zgyojrmaapfwyhn7-vcbn6mma9pe2p3rzukdjxdjh9tuzjq3vobuabap3n7b9kk7rkcxzklfc46b-xdhbv6rdivzjjqmiz8ms5tirgklh5g3qpcqruxrr5b4kt7tny-pvh6kohrhm9h7v4raoujpum5e4kc-n-djxwpnqlajgqcseh3x5hm5egjtnllsgfymkcyamz4qu3dpg28glcq-x7xb-wyqqc76cvbmphbjkkx8fi88jlehytdmepnu4nv623fkhji8lwkfwtqihrjsw9yuyy/"" width=""290px"" height=""50px""></iframe>'+"
"8","""K - HOT AM 818""","  '</div>');"
"9","""K - HOT AM 818""","   }"
"10","""Pressed 2 Death""","one, two, pbblt"
"11","""Pressed 2 Death""","i wrote a song on your guitar and it sounds like"
"12","""Pressed 2 Death""","you wrote a song on my guitar and it sounds like shit"
"13","""Pressed 2 Death""","i'll trace the freckles on your arm and it felt like ooh, ooh, ooh"
"14","""Pressed 2 Death""","you held the fabric of my heart and then ripped it"
"15","""Pressed 2 Death""","you only like me when i'm sad"
"16","""Pressed 2 Death""","you only want me when i'm feelin' bad"
"17","""Pressed 2 Death""","you only like me when i'm sad"
"18","""Pressed 2 Death""","you only want me when i'm feelin' bad"
"19","""Pressed 2 Death""","and now i'm feelin' so bad"
"20","""Pressed 2 Death""","i'm watching everybody dance from the safe wall"
"21","""Pressed 2 Death""","you try act like you don't care but you're smiling"
"22","""Pressed 2 Death""","i'm talkin' this close to your ear 'cause it's way loud"
"23","""Pressed 2 Death""","what's all the hype with cold brew coffee and kissin' in public?"
"24","""Pressed 2 Death""","you only like me when i'm sad"
